key,1,2
#,,
offset,0,4
int32,str,str
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,「搬運」到目的地吧！,請在限定時間內將手中的貨物搬運到指定位置！<hex:02100103><hex:02100103>搬運過程中會被賦予「搬運」的狀態效果。<hex:02100103>該狀態的持續時間就是執行任務的限定時間。<hex:02100103><hex:02100103>受到攻擊後，搬運狀態持續時間將會減少，<hex:02100103>所以行進途中請盡量避開敵人。<hex:02100103><hex:02100103>另外，搬運狀態下能使用的技能將會受到限制。
12,「搬運」狀態解除時……,限定時間結束或切換區域等原因<hex:02100103>導致「搬運」狀態解除時，<hex:02100103>搬運就會失敗。<hex:02100103><hex:02100103>需要回到開始地點，重新開始挑戰。
13,在「透明」狀態下行動吧！,進入「透明」狀態後，將變得難以被部分目標或怪物看到。<hex:02100103>就在這種狀態下悄悄地達成目的吧！<hex:02100103><hex:02100103>持續時間內將被賦予「透明」的狀態效果。<hex:02100103>該狀態的持續時間就是執行任務的限定時間。<hex:02100103><hex:02100103>另外，透明狀態下能使用的技能將會受到限制。
14,「透明」狀態解除時……,限定時間結束或切換區域等原因<hex:02100103>導致「透明」狀態解除時，<hex:02100103>會被目標發現，無法繼續推進任務。<hex:02100103><hex:02100103>請在限定時間結束前回到開始地點，<hex:02100103>延長「透明」的持續時間。<hex:02100103><hex:02100103>「透明」狀態解除時，<hex:02100103>只要回到開始地點，就可以再次進入「透明」狀態。
15,與夥伴「同行」，一起探索吧！,在執行任務時，有時可以帶著夥伴一起前行。<hex:02100103>該狀態被稱為「同行」。<hex:02100103><hex:02100103>在同行者處於附近位置的狀態下一起探索，<hex:02100103>達成目的吧！
16,與夥伴「同行」，一起探索吧！,只要身在同一區域，即使使用傳送或都市傳送網，<hex:02100103>同行者也不會從自己身邊離開。<hex:02100103><hex:02100103>騎乘坐騎或者在水中游泳時「同行」狀態依舊會持續，<hex:02100103>不過同行者會暫時處於無法顯示的狀態。
17,和同行者對話吧！,隨時都可以跟同行者進行對話。<hex:02100103><hex:02100103>在抵達目的地的沿途，<hex:02100103>有時存在可以進行特殊對話的交談點。<hex:02100103>在交談點的範圍與同行者對話，<hex:02100103>可能會追加新的相關話題。<hex:02100103><hex:02100103>交談點的位置也會在地圖中顯示，<hex:02100103>和同伴們一起享受探索的樂趣吧！
18,「同行」狀態解除時……,與同行者對話選擇「解除同行狀態」或切換區域時，<hex:02100103>「同行」狀態將會中斷。<hex:02100103><hex:02100103>此時與回到了開始地點的同行者對話，<hex:02100103>就可再次進入「同行」狀態。
19,讓夥伴「帶路」吧！,夥伴會「帶路」前往目的地。<hex:02100103>跟隨夥伴一同前行吧，注意不要離得太遠！<hex:02100103><hex:02100103>與夥伴距離太遠的話，「帶路」狀態就會中斷。<hex:02100103><hex:02100103>此時與回到了開始地點的同行者對話，<hex:02100103>就可再次進入「帶路」狀態。
20,小心翼翼地「跟蹤」吧！,從目標背後悄悄地「跟蹤」，小心別被發現了！<hex:02100103><hex:02100103>跟蹤過程中如果進入目標的視野或者距離太近的話，<hex:02100103>就會被發現導致跟蹤失敗。<hex:02100103>另外距離目標太遠的話也會失敗。<hex:02100103><hex:02100103>需要從開始地點重新開始挑戰。
21,要想「跟蹤」成功……,目標周圍如果出現了像映像一樣的標記，需要格外注意！<hex:02100103>這意味著此時如果目標回頭，將會被發現。<hex:02100103><hex:02100103>需要立刻移動到可以藏身的位置。
22,要想「跟蹤」成功……,和目標不能距離太近這一點也很重要。<hex:02100103><hex:02100103>請注意不要進入映像一樣的圓形範圍內，<hex:02100103>保持一定的距離進行「跟蹤」吧！
23,在「變身」狀態下行動吧！,「變身」成不同尋常的造型達成目的吧！<hex:02100103><hex:02100103>變身過程中會被賦予「變身」的狀態效果。<hex:02100103>該狀態的持續時間就是變身結束的規定時間。<hex:02100103><hex:02100103>另外變身狀態下能使用的技能將會受到限制。
24,「變身」狀態解除時……,規定時間結束或離開有效範圍<hex:02100103>導致「變身」狀態解除時，<hex:02100103>無法繼續推進任務。<hex:02100103><hex:02100103>請在規定時間結束前回到開始地點，<hex:02100103>延長「變身」的持續時間。<hex:02100103><hex:02100103>「變身」狀態解除時，<hex:02100103>只要回到開始地點，就可以再次進入「變身」狀態。
25,在「換裝」狀態下行動吧！,在執行任務時，有時可以臨時改變裝備的外觀。<hex:02100103>該狀態被稱為「換裝」。<hex:02100103><hex:02100103>持續時間內將被賦予「換裝」的狀態效果。<hex:02100103>該狀態的持續時間就是換裝結束的規定時間。
26,「換裝」狀態解除時……,規定時間結束或離開有效範圍<hex:02100103>導致「換裝」狀態解除時，<hex:02100103>無法繼續推進任務。<hex:02100103><hex:02100103>請在規定時間結束前回到開始地點，<hex:02100103>延長「換裝」的持續時間。<hex:02100103><hex:02100103>「換裝」狀態解除時，<hex:02100103>只要回到開始地點，就可以再次進入「換裝」狀態。
27,「護送」著前進吧！,將追隨自己的護送對象平安送到目的地吧！<hex:02100103><hex:02100103>當護送對象距離太遠或遭到敵人攻擊時，<hex:02100103>將會變得動彈不得。<hex:02100103><hex:02100103>請注意與護送對象之間的距離，<hex:02100103>並在遭到襲擊時盡快解決敵人，一起與護送對象抵達目的地吧。
28,「護送」狀態解除時……,當護送對象遭到敵人攻擊，體力變為0時，<hex:02100103>「護送」失敗。<hex:02100103><hex:02100103>另外當與護送對象距離太遠或切換區域時，<hex:02100103>同樣「護送」失敗。<hex:02100103><hex:02100103>需要從開始地點重新開始挑戰。
